fragment_ID,DW.clean.g,DW.wax.g,BW.wax.g,Temperature.C,Page.Num,Notes
3968,30.623,31.878,16.157,20.12,page71,
3847,6.586,6.957,3.355,20.17,page71,
3841,9.697,10.219,5.031,20.18,page71,
3834,5.734,6.162,2.887,20.08,page71,"duplicated, page 71"
3762,19.077,19.798,11.267,20.07,page71,
3771,7.107,7.48,4.052,20.11,page71,
3743,12.218,12.984,6.468,20.14,page71,
3613,12.933,13.652,5.708,20.11,page71,
3685,4.941,5.297,2.576,20.08,page71,"duplicated, page 71"
3700,8.59,9.105,4.819,20.08,page71,
3684,13.768,14.389,7.594,20.05,page71,
3692,14.431,15.212,6.733,20.05,page71,
3617,10.723,11.344,6.026,20.02,page71,
3694,7.998,8.446,4.445,20.01,page71,
3695,7.003,7.496,5.627,20.16,page71,outlier
3833,5.971,6.288,3.27,20.19,page71,
3760,1.513,1.622,0.814,20.2,page71,
3759,3.752,4.011,2.034,19.98,page71,
3749,2.538,2.809,1.324,20,page71,
3708,7.033,7.457,2.733,20.02,page71,
3606,10.729,11.233,5.544,20.02,page71,
3882,2.13,2.286,1.245,20.05,page71,
3557,18.603,19.471,9.832,20.06,page71,
3712,9.343,9.822,4.96,20.08,page71,
3594,5.825,6.06,3.261,20.12,page71,
3842,10.439,10.97,5.114,20.13,page71,
3837,8.11,8.486,4.6,20.14,page71,
3611,14.995,15.544,7.511,20.17,page71,
3880,17.527,18.4,8.603,20.11,page71,
3686,6.017,6.41,3.298,20.09,page71,
3756,5.043,5.318,2.88,20.09,page71,
3697,3.408,3.679,1.81,20.08,page71,
3844,6.994,7.379,3.609,20.05,page71,
3693,7.85,8.385,3.054,20.05,page71,
3641,23.024,23.821,12.929,20.02,page71,
3849,13.322,14.191,7.488,20,page71,
3753,12.632,13.178,6.386,19.97,page72,
3754,6.615,7.129,2.987,19.99,page72,
3531,16.257,16.821,8.424,20.01,page72,
3736,18.081,18.785,8.308,20.02,page72,
3637,12.002,12.588,7.136,20.03,page72,"duplicated, page 72"
3886,14.677,15.407,8.131,20.04,page72,
3539,18.488,19.263,8.821,20.06,page72,
3765,13.139,13.793,7.307,20.07,page72,
3685,8.47,8.965,4.824,20.09,page72,"duplicated, page 72"
3623,6.535,6.972,3.638,20.08,page72,
3726,16.87,17.541,9.245,20.09,page72,
3735,18.344,18.955,8.777,20.1,page72,
3624,5.77,6.153,2.918,20.12,page72,
3625,10.26,10.725,5.588,20.01,page72,
3829,12.688,13.439,6.828,20.05,page72,
3632,6.997,7.541,3.371,20.04,page72,
3608,5.834,6.143,3.502,20.01,page72,
3591,2.436,2.6,1.29,20.01,page72,
3647,12.489,13.36,5.913,20.04,page72,
3719,6.805,7.294,3.546,20.05,page72,
3553,9.741,10.301,5.127,20.01,page72,
3701,8.966,9.306,5.02,20.08,page72,
3614,9.196,9.6,4.356,20.08,page72,
3782,14.282,15.025,8.238,20.04,page72,
3877,11.065,11.682,6.211,20.03,page72,
3559,13.859,14.409,6.691,20.03,page72,
3813,10.485,11.126,5.582,20.05,page72,
3752,13.754,14.385,6.769,20.07,page72,
3852,19.291,20.082,10.332,20.08,page72,
3868,5.452,5.771,2.987,20.05,page72,
3705,7.432,7.931,3.328,20.03,page72,
3935,13.741,14.41,7.633,20.02,page72,
3871,10.013,10.471,5.637,20.01,page72,
3683,11.45,11.979,6.387,20.02,page72,
3938,2.397,2.523,1.221,20.03,page72,
3875,7.749,8.105,3.712,20.05,page72,
3716,1.864,2.031,0.935,20.01,page73,
3757,24.206,25.327,13.482,20.01,page73,
3838,6.482,6.783,3.623,20.04,page73,"duplicated, page 73"
3552,15.659,16.385,8.352,20.05,page73,
3859,13.605,14.326,7.971,20.03,page73,
3879,18.512,19.322,9.515,19.99,page73,
3878,7.179,7.596,3.901,20.03,page73,
3761,8.986,9.504,5.056,20.03,page73,
3610,12.953,13.857,7.142,20.05,page73,
3603,20.545,21.233,11.084,20.06,page73,
3741,13.137,13.72,7.367,20.08,page73,
3605,18.907,19.672,10.757,20,page73,
3766,8.89,9.254,4.962,20.03,page73,
3866,3.426,3.63,1.901,20.03,page73,
3556,7.315,7.735,3.493,20.05,page73,
3628,10.866,11.461,5.714,20.05,page73,
3626,13.044,13.741,7.331,20.07,page73,
3785,12.878,13.467,7.003,20.09,page73,
3803,9.433,9.872,5.376,20.04,page73,
3802,13.327,14.097,7.126,20.04,page73,
3706,13.642,14.346,7.526,20.03,page73,
3551,4.303,4.537,1.957,20.02,page73,
3887,4.64,4.882,2.469,20.03,page73,
3601,2.595,2.783,1.413,20.04,page73,
3602,16.761,17.614,9.755,20.06,page73,
3869,11.968,12.425,7.17,20.06,page73,
3814,6.667,6.98,3.597,20.07,page73,
3738,11.389,11.924,5.643,20,page73,
3840,12.697,13.243,7.079,20.02,page73,
3873,4.023,4.288,2.199,20.05,page73,
3621,17.642,18.397,9.461,20.06,page73,
3636,5.097,5.409,2.556,20.07,page73,
3612,9.581,10.209,4.343,20.08,page73,
3717,15.263,16.108,8.295,20.04,page73,
3881,11.958,12.594,5.582,20.03,page73,
3436,13.258,13.815,7.071,20.04,page73,"duplicated, page 73"
3630,12.203,12.88,6.16,20.06,page74,
3853,5.619,5.943,3.199,20.07,page74,
3826,9.554,10.074,4.497,20.08,page74,
3558,6.392,6.803,3.147,20.03,page74,
3549,18.449,19.023,9.011,20.03,page74,
3714,15.133,15.77,8.002,20.02,page74,
3724,15.633,16.35,8.22,20.01,page74,
3867,11.306,11.696,6.37,19.99,page74,
3688,3.89,4.103,1.982,20.02,page74,
3792,8.856,9.206,4.757,20.03,page74,
3772,4.828,5.06,2.632,20.03,page74,
3928,12.511,13.03,6.98,20.04,page74,
3637,9.671,10.224,5.308,20.06,page74,"duplicated, page74"
3858,0.711,0.817,0.373,20.06,page74,
3609,8.679,9.125,4.631,20.08,page74,
3534,13.252,14.015,7.175,20.08,page74,
3640,11.409,12.232,5.582,20.03,page74,
3604,9.96,10.461,5.095,20.01,page74,
3917,12.42,12.976,6.576,19.99,page74,
3560,8.336,8.88,4.328,19.97,page74,
3855,3.763,4.027,1.968,20.01,page74,
3794,3.438,3.65,1.933,20.02,page74,
3786,6.688,6.981,3.845,20.03,page74,
3769,7.317,7.742,3.548,20.04,page74,
3537,3.795,4.029,2.096,20.05,page74,
3649,8.892,9.397,4.157,20.06,page74,
3843,5.226,5.516,2.784,20.07,page74,
3607,14.991,16.006,7.596,20.08,page74,
3773,13.538,14.067,7.5,20.09,page74,
3896,8.805,9.244,4.603,20.1,page74,
3532,3.262,3.425,1.792,20.06,page74,
3718,5.002,5.39,1.948,20.04,page74,
3707,6.904,7.248,3.578,20.02,page74,
3596,3.464,3.666,1.898,20.01,page74,
3631,4.671,4.965,2.607,19.98,page74,
3885,6.121,6.407,3.564,20.01,page74,
3593,9.011,9.508,4.349,20.05,page75,
3838,6.228,6.55,3.018,20.06,page75,duplicated page75
3703,3.656,4.019,1.346,20.06,page75,
3831,8.652,9,4.776,20.07,page75,
3830,3.487,3.732,1.848,20.08,page75,
3941,6.703,7.217,3.696,20.08,page75,
3798,9.432,9.93,5.343,20.03,page75,
3555,8.686,9.069,4.474,20.01,page75,
3779,12.97,13.62,7.13,19.98,page75,
3648,7.829,8.307,4.308,19.99,page75,
3774,3.794,4.035,2.094,20.01,page75,
3732,25.008,26.149,12.555,20.06,page75,
3811,12.197,12.797,5.846,20.07,page75,
3750,3.052,3.205,1.652,20.07,page75,
3533,6.435,6.816,2.357,20.08,page75,
3715,15,15.635,8.339,20.08,page75,
3650,10.125,10.564,5.501,19.99,page75,
3820,5.14,5.426,2.638,19.97,page75,
3731,18.167,18.85,10.245,20.08,page75,
3832,12.461,12.919,7.031,20.03,page75,
3799,12.975,13.585,6.665,20.01,page75,
3704,11.056,11.626,5.932,19.99,page75,
3659,12.565,13.121,6.46,19.97,page75,duplicated page75
3646,8.658,9.193,3.748,20,page75,
3713,1.454,1.566,0.804,20.01,page75,
3767,5.972,6.41,2.914,20.03,page75,
3793,11.475,11.926,5.999,20.04,page75,
3633,1.581,1.733,0.627,20.05,page75,
3702,5.586,6.045,2.586,20.1,page75,
3622,13.33,13.959,6.934,20.11,page75,
3629,7.922,8.324,4.331,20.12,page75,
3930,12.179,12.648,5.915,20.08,page75,
3883,5.944,6.329,2.71,20.08,page75,
3725,17.006,17.688,10.121,20.07,page75,
3863,12.602,13.4,6.235,20.05,page75,
3848,8.515,9.015,4.706,20,page75,
3542,4.846,5.175,1.763,20.03,page,
3746,5.15,5.473,2.675,20.05,page,
3810,1.517,1.621,0.858,20.06,page,
3894,5.983,6.284,3.274,20.07,page,
3907,6.974,7.453,2.833,20.08,page,
3689,5.429,5.852,2.463,20.04,page,
