Sample.ID,Site,Transect,Diameter.1,Diameter.2,Diameter.3,Note
2100,S11,T1,7.543,6.289,5.382,
2101,S11,T1,100,100,100,do not have the full colony on the pic
2102,S11,T1,13.17,13.265,10.828,
2103,S11,T1,1.434,1.485,1.064,
2104,S11,T1,1.084,1.539,1.011,
2150,S11,T1,6.724,9.232,4.802,
2163,S11,T1,20.087,21.599,17.424,
2168,S11,T1,1.129,1.27,1.255,
2169,S11,T1,0.885,0.984,0.41,
2237,S11,T1,5.583,5.076,3.278,
2240,S11,T1,2.106,1.737,0.807,
2241,S11,T1,9.236,8.862,9.741,
2242,S11,T1,1.329,1.452,0.704,
2243,S11,T1,17.097,14.568,15.945,
2244,S11,T1,22.198,20.66,18.605,
2245,S11,T1,14.584,12.346,10.106,
2246,S11,T1,5.412,6.392,5.744,
2247,S11,T1,13.926,12.537,13.12,
2248,S11,T1,14.717,12,10.847,
2249,S11,T1,100,100,100,do not have the full colony on the pic
2250,S11,T1,16.511,12.368,14.579,
2251,S11,T1,1.171,1.143,1.068,
2252,S11,T1,0.624,0.646,0.698,
2253,S11,T1,0.711,0.992,1.142,
2254,S11,T1,0.838,0.949,0.948,
2255,S11,T1,10.79,8.232,9.241,
2256,S11,T1,10.883,10.134,8.858,
2257,S11,T1,5.364,4.846,4.123,
2258,S11,T1,0.76,0.639,0.332,
2259,S11,T1,0.57,0.585,0.171,
2260,S11,T1,5.095,5.274,3.21,
2261,S11,T1,2.928,2.508,2.619,
2262,S11,T1,9.15,11.173,7.979,
2263,S11,T1,2.736,2.754,2.997,
2264,S11,T1,8.084,7.288,6.146,
2265,S11,T1,1.433,1.255,1.481,
2266,S11,T1,11.148,7.855,7.598,
2267,S11,T1,11.575,11.21,8.181,
2268,S11,T1,14.685,14.961,14.125,
2269,S11,T1,9.389,10.02,6.423,
2270,S11,T1,4.029,3.584,4.535,
2271,S11,T1,19.602,20.709,13.775,
2272,S11,T1,100,100,100,do not have the full colony on the pic
2273,S11,T1,8.407,8.153,7.59,
2274,S11,T1,100,100,100,do not have the full colony on the pic
2275,S11,T1,100,100,100,do not have the full colony on the pic
2276,S11,T1,13.17,13.415,11.316,
2277,S11,T1,1.318,1.564,0.825,
2278,S11,T1,9.74,9.981,4.407,
2279,S11,T1,9.304,7.993,8.461,
2280,S11,T1,9.199,8.033,6.545,
2281,S11,T1,2.974,2.883,2.808,
2282,S11,T1,20.414,19.331,18.711,
2283,S11,T1,15.622,13.134,10.138,
2284,S11,T1,1.311,1.081,0.775,
2285,S11,T1,1.573,1.885,1.365,
2286,S11,T1,0.942,0.919,0.412,
2287,S11,T1,15.604,14.829,11.09,
2288,S11,T1,22.05,21.69,21.756,
2289,S11,T1,15.653,15.632,7.023,
2290,S11,T1,0.931,0.963,0.79,
2291,S11,T1,15.28,17.358,10.335,
2292,S11,T1,6.792,6.229,3.749,
2293,S11,T1,8.338,7.476,6.145,
2294,S11,T1,10.303,11.088,7.789,
2295,S11,T1,0.957,0.83,0.468,
2296,S11,T1,1.49,1.576,0.886,
2297,S11,T1,0.855,0.885,0.396,
2298,S11,T1,2.179,1.621,1.807,
2299,S11,T1,2.24,2.325,2.256,
2300,S11,T1,0.446,0.558,0.386,
2301,S11,T1,11.695,14.261,11.975,
2302,S11,T1,10.872,12.051,9.572,
2303,S11,T1,1.739,1.629,1.353,
2304,S11,T1,2.748,2.563,2.313,
2305,S11,T1,5.085,5.075,4.381,
2306,S11,T1,0.717,0.908,0.53,
2307,S11,T1,1.271,1.169,0.772,
2308,S11,T1,0.929,0.992,0.525,
2309,S11,T1,0.871,0.695,0.327,
