"","Site","Species","SizeClass","MeanDensity","SDDensity","SE","N_transects"
"1","S11","P. acuta","0-2cm",0.173333333333333,0.0832666399786453,0.0480740170061865,3
"2","S11","P. acuta",">2cm-5cm",0,0,0,3
"3","S11","P. acuta",">5cm-14cm",0,0,0,3
"4","S11","P. acuta",">14cm",0,0,0,3
"5","S11","P. effusa","0-2cm",0.0266666666666667,0.0461880215351701,0.0266666666666667,3
"6","S11","P. effusa",">2cm-5cm",0.04,0.04,0.023094010767585,3
"7","S11","P. effusa",">5cm-14cm",0,0,0,3
"8","S11","P. effusa",">14cm",0,0,0,3
"9","S11","P. grandis","0-2cm",0.0133333333333333,0.023094010767585,0.0133333333333333,3
"10","S11","P. grandis",">2cm-5cm",0,0,0,3
"11","S11","P. grandis",">5cm-14cm",0.0933333333333333,0.100664459136943,0.0581186525805423,3
"12","S11","P. grandis",">14cm",0.0933333333333333,0.0611010092660779,0.0352766841475279,3
"13","S11","P. meandrina","0-2cm",0.56,0.30199337741083,0.174355957741627,3
"14","S11","P. meandrina",">2cm-5cm",0.12,0.105830052442584,0.0611010092660779,3
"15","S11","P. meandrina",">5cm-14cm",0.506666666666667,0.360739980225832,0.208273324690844,3
"16","S11","P. meandrina",">14cm",0.213333333333333,0.14047538337137,0.0811035004039763,3
"17","S11","P. tuahiniensis","0-2cm",0.04,0,0,3
"18","S11","P. tuahiniensis",">2cm-5cm",0.0266666666666667,0.0461880215351701,0.0266666666666667,3
"19","S11","P. tuahiniensis",">5cm-14cm",0.0133333333333333,0.023094010767585,0.0133333333333333,3
"20","S11","P. tuahiniensis",">14cm",0.0933333333333333,0.0611010092660779,0.0352766841475279,3
"21","S11","P. verrucosa","0-2cm",0.0533333333333333,0.023094010767585,0.0133333333333333,3
"22","S11","P. verrucosa",">2cm-5cm",0.04,0.04,0.023094010767585,3
"23","S11","P. verrucosa",">5cm-14cm",0.04,0.0692820323027551,0.04,3
"24","S11","P. verrucosa",">14cm",0.0933333333333333,0.100664459136943,0.0581186525805423,3
"25","S12","P. acuta","0-2cm",0.16,0.04,0.023094010767585,3
"26","S12","P. acuta",">2cm-5cm",0.04,0,0,3
"27","S12","P. acuta",">5cm-14cm",0,0,0,3
"28","S12","P. acuta",">14cm",0.0133333333333333,0.023094010767585,0.0133333333333333,3
"29","S12","P. effusa","0-2cm",0.04,0.04,0.023094010767585,3
"30","S12","P. effusa",">2cm-5cm",0.0533333333333333,0.023094010767585,0.0133333333333333,3
"31","S12","P. effusa",">5cm-14cm",0.0133333333333333,0.023094010767585,0.0133333333333333,3
"32","S12","P. effusa",">14cm",0.0133333333333333,0.023094010767585,0.0133333333333333,3
"33","S12","P. grandis","0-2cm",0.106666666666667,0.100664459136943,0.0581186525805423,3
"34","S12","P. grandis",">2cm-5cm",0.146666666666667,0.0923760430703401,0.0533333333333333,3
"35","S12","P. grandis",">5cm-14cm",0.0666666666666667,0.023094010767585,0.0133333333333333,3
"36","S12","P. grandis",">14cm",0.186666666666667,0.0611010092660779,0.0352766841475279,3
"37","S12","P. meandrina","0-2cm",0.72,0.105830052442584,0.0611010092660779,3
"38","S12","P. meandrina",">2cm-5cm",0.226666666666667,0.0923760430703401,0.0533333333333334,3
"39","S12","P. meandrina",">5cm-14cm",0.36,0.08,0.0461880215351701,3
"40","S12","P. meandrina",">14cm",0.626666666666667,0.305505046330389,0.176383420737639,3
"41","S12","P. tuahiniensis","0-2cm",0.0133333333333333,0.023094010767585,0.0133333333333333,3
"42","S12","P. tuahiniensis",">2cm-5cm",0.0266666666666667,0.0461880215351701,0.0266666666666667,3
"43","S12","P. tuahiniensis",">5cm-14cm",0.0266666666666667,0.023094010767585,0.0133333333333333,3
"44","S12","P. tuahiniensis",">14cm",0.16,0.04,0.023094010767585,3
"45","S12","P. verrucosa","0-2cm",0.0133333333333333,0.023094010767585,0.0133333333333333,3
"46","S12","P. verrucosa",">2cm-5cm",0.0133333333333333,0.023094010767585,0.0133333333333333,3
"47","S12","P. verrucosa",">5cm-14cm",0.0533333333333333,0.023094010767585,0.0133333333333333,3
"48","S12","P. verrucosa",">14cm",0.146666666666667,0.161658075373095,0.0933333333333333,3
"49","S14","P. acuta","0-2cm",0.08,0.04,0.023094010767585,3
"50","S14","P. acuta",">2cm-5cm",0.0666666666666667,0.0832666399786453,0.0480740170061865,3
"51","S14","P. acuta",">5cm-14cm",0.0266666666666667,0.0461880215351701,0.0266666666666667,3
"52","S14","P. acuta",">14cm",0,0,0,3
"53","S14","P. effusa","0-2cm",0.04,0.04,0.023094010767585,3
"54","S14","P. effusa",">2cm-5cm",0.133333333333333,0.0611010092660779,0.0352766841475279,3
"55","S14","P. effusa",">5cm-14cm",0.04,0.04,0.023094010767585,3
