"","Shore","Site","Benthic.Group","Benthic.Name","Count","RelAbundance"
"1","North","S2","Algae","Macroalgae",1812,0.244864864864865
"2","North","S3","Algae","Macroalgae",1415,0.202142857142857
"3","East","S6","Algae","Macroalgae",1190,0.195081967213115
"4","West","S12","Algae","Macroalgae",942,0.1471875
"5","West","S14","Algae","Macroalgae",860,0.116216216216216
"6","East","S9","Algae","Macroalgae",798,0.103636363636364
"7","North","S5","Algae","Macroalgae",416,0.054025974025974
"8","West","S18","Algae","Macroalgae",243,0.0476470588235294
"9","West","S15","Algae","Macroalgae",276,0.0363157894736842
"10","East","S11","Algae","Macroalgae",180,0.0253521126760563
"11","North","S4","Algae","Macroalgae",67,0.00858974358974359
"12","East","S9","CTB","Rubble, Crustose Coralline Algae, Turf",6178,0.802337662337662
"13","North","S2","CTB","Rubble, Crustose Coralline Algae, Turf",5119,0.691756756756757
"14","East","S11","CTB","Rubble, Crustose Coralline Algae, Turf",4212,0.593239436619718
"15","North","S3","CTB","Rubble, Crustose Coralline Algae, Turf",3911,0.558714285714286
"16","West","S18","CTB","Rubble, Crustose Coralline Algae, Turf",2825,0.553921568627451
"17","North","S5","CTB","Rubble, Crustose Coralline Algae, Turf",3706,0.481298701298701
"18","West","S14","CTB","Rubble, Crustose Coralline Algae, Turf",3472,0.469189189189189
"19","West","S15","CTB","Rubble, Crustose Coralline Algae, Turf",3476,0.457368421052632
"20","West","S12","CTB","Rubble, Crustose Coralline Algae, Turf",2465,0.38515625
"21","East","S6","CTB","Rubble, Crustose Coralline Algae, Turf",2012,0.32983606557377
"22","North","S4","CTB","Rubble, Crustose Coralline Algae, Turf",1838,0.235641025641026
"23","East","S6","Hard_Coral","Porites",753,0.12344262295082
"24","West","S15","Hard_Coral","Montipora",805,0.105921052631579
"25","East","S11","Hard_Coral","Porites",745,0.104929577464789
"26","East","S6","Hard_Coral","Montipora",585,0.0959016393442623
"27","West","S18","Hard_Coral","Montipora",484,0.0949019607843137
"28","West","S12","Hard_Coral","Montipora",588,0.091875
"29","West","S18","Hard_Coral","Porites",445,0.0872549019607843
"30","West","S15","Hard_Coral","Porites",650,0.0855263157894737
"31","West","S14","Hard_Coral","Pocillopora",595,0.0804054054054054
"32","North","S5","Hard_Coral","Porites",609,0.0790909090909091
"33","West","S14","Hard_Coral","Porites",558,0.0754054054054054
"34","West","S14","Hard_Coral","Montipora",470,0.0635135135135135
"35","West","S15","Hard_Coral","Pocillopora",406,0.0534210526315789
"36","West","S12","Hard_Coral","Porites",316,0.049375
"37","West","S12","Hard_Coral","Pocillopora",276,0.043125
"38","North","S4","Hard_Coral","Porites",311,0.0398717948717949
"39","East","S11","Hard_Coral","Montipora",203,0.0285915492957746
"40","North","S5","Hard_Coral","Montipora",208,0.027012987012987
"41","North","S3","Hard_Coral","Porites",186,0.0265714285714286
"42","North","S5","Hard_Coral","Pocillopora",181,0.0235064935064935
"43","North","S4","Hard_Coral","Montipora",166,0.0212820512820513
